1 1 2 0 2  3  
1 1 2 0 4  5  
1 1 2 0 6  7  
1 1 2 0 8  9  
1 1 2 0 10  11  
1 1 2 0 12  13  
1 1 2 0 14  15  
1 1 2 0 16  4  
1 1 2 0 17  8  
1 1 2 0 18  12  
1 1 2 0 19  16  
1 1 2 0 20  18  
1 1 2 0 21  20  
1 1 2 0 22  23  
1 1 2 0 24  25  
1 1 2 0 26  27  
1 1 2 0 28  29  
1 1 2 0 30  31  
1 1 2 0 32  33  
1 1 2 0 34  35  
1 1 2 0 36  24  
1 1 2 0 37  28  
1 1 2 0 38  32  
1 1 2 0 39  36  
1 1 2 0 40  38  
1 1 2 0 41  40  
1 1 2 0 42  43  
1 1 2 0 44  45  
1 1 2 0 46  47  
1 1 2 0 48  49  
1 1 2 0 50  51  
1 1 2 0 52  53  
1 1 2 0 54  55  
1 1 2 0 56  44  
1 1 2 0 57  48  
1 1 2 0 58  52  
1 1 2 0 59  56  
1 1 2 0 60  58  
1 1 2 0 61  60  
1 1 3 0 4  2  62  
1 1 3 0 6  2  5  
1 1 3 0 8  2  63  
1 1 3 0 10  2  7  
1 1 3 0 12  2  64  
1 1 3 0 14  2  9  
1 1 3 0 16  2  65  
1 1 3 0 17  2  11  
1 1 3 0 18  2  66  
1 1 3 0 19  2  13  
1 1 3 0 20  2  67  
1 1 3 0 21  2  15  
1 1 3 0 2  4  62  
1 1 3 0 6  4  63  
1 1 3 0 8  4  7  
1 1 3 0 10  4  64  
1 1 3 0 12  4  9  
1 1 3 0 14  4  65  
1 1 3 0 16  4  11  
1 1 3 0 17  4  66  
1 1 3 0 18  4  13  
1 1 3 0 19  4  67  
1 1 3 0 20  4  15  
1 1 3 0 21  4  2  
1 1 3 0 2  6  5  
1 1 3 0 4  6  63  
1 1 3 0 8  6  64  
1 1 3 0 10  6  9  
1 1 3 0 12  6  65  
1 1 3 0 14  6  11  
1 1 3 0 16  6  66  
1 1 3 0 17  6  13  
1 1 3 0 18  6  67  
1 1 3 0 19  6  15  
1 1 3 0 20  6  2  
1 1 3 0 21  6  4  
1 1 3 0 2  8  63  
1 1 3 0 4  8  7  
1 1 3 0 6  8  64  
1 1 3 0 10  8  65  
1 1 3 0 12  8  11  
1 1 3 0 14  8  66  
1 1 3 0 16  8  13  
1 1 3 0 17  8  67  
1 1 3 0 18  8  15  
1 1 3 0 19  8  2  
1 1 3 0 20  8  4  
1 1 3 0 21  8  6  
1 1 3 0 2  10  7  
1 1 3 0 4  10  64  
1 1 3 0 6  10  9  
1 1 3 0 8  10  65  
1 1 3 0 12  10  66  
1 1 3 0 14  10  13  
1 1 3 0 16  10  67  
1 1 3 0 17  10  15  
1 1 3 0 18  10  2  
1 1 3 0 19  10  4  
1 1 3 0 20  10  6  
1 1 3 0 21  10  8  
1 1 3 0 2  12  64  
1 1 3 0 4  12  9  
1 1 3 0 6  12  65  
1 1 3 0 8  12  11  
1 1 3 0 10  12  66  
1 1 3 0 14  12  67  
1 1 3 0 16  12  15  
1 1 3 0 17  12  2  
1 1 3 0 18  12  4  
1 1 3 0 19  12  6  
1 1 3 0 20  12  8  
1 1 3 0 21  12  10  
1 1 3 0 2  14  9  
1 1 3 0 4  14  65  
1 1 3 0 6  14  11  
1 1 3 0 8  14  66  
1 1 3 0 10  14  13  
1 1 3 0 12  14  67  
1 1 3 0 16  14  2  
1 1 3 0 17  14  4  
1 1 3 0 18  14  6  
1 1 3 0 19  14  8  
1 1 3 0 20  14  10  
1 1 3 0 21  14  12  
1 1 3 0 2  16  65  
1 1 3 0 4  16  11  
1 1 3 0 6  16  66  
1 1 3 0 8  16  13  
1 1 3 0 10  16  67  
1 1 3 0 12  16  15  
1 1 3 0 14  16  2  
1 1 3 0 17  16  6  
1 1 3 0 18  16  8  
1 1 3 0 19  16  10  
1 1 3 0 20  16  12  
1 1 3 0 21  16  14  
1 1 3 0 2  17  11  
1 1 3 0 4  17  66  
1 1 3 0 6  17  13  
1 1 3 0 8  17  67  
1 1 3 0 10  17  15  
1 1 3 0 12  17  2  
1 1 3 0 14  17  4  
1 1 3 0 16  17  6  
1 1 3 0 18  17  10  
1 1 3 0 19  17  12  
1 1 3 0 20  17  14  
1 1 3 0 21  17  16  
1 1 3 0 2  18  66  
1 1 3 0 4  18  13  
1 1 3 0 6  18  67  
1 1 3 0 8  18  15  
1 1 3 0 10  18  2  
1 1 3 0 12  18  4  
1 1 3 0 14  18  6  
1 1 3 0 16  18  8  
1 1 3 0 17  18  10  
1 1 3 0 19  18  14  
1 1 3 0 20  18  16  
1 1 3 0 21  18  17  
1 1 3 0 2  19  13  
1 1 3 0 4  19  67  
1 1 3 0 6  19  15  
1 1 3 0 8  19  2  
1 1 3 0 10  19  4  
1 1 3 0 12  19  6  
1 1 3 0 14  19  8  
1 1 3 0 16  19  10  
1 1 3 0 17  19  12  
1 1 3 0 18  19  14  
1 1 3 0 20  19  17  
1 1 3 0 21  19  18  
1 1 3 0 2  20  67  
1 1 3 0 4  20  15  
1 1 3 0 6  20  2  
1 1 3 0 8  20  4  
1 1 3 0 10  20  6  
1 1 3 0 12  20  8  
1 1 3 0 14  20  10  
1 1 3 0 16  20  12  
1 1 3 0 17  20  14  
1 1 3 0 18  20  16  
1 1 3 0 19  20  17  
1 1 3 0 21  20  19  
1 1 3 0 2  21  15  
1 1 3 0 4  21  2  
1 1 3 0 6  21  4  
1 1 3 0 8  21  6  
1 1 3 0 10  21  8  
1 1 3 0 12  21  10  
1 1 3 0 14  21  12  
1 1 3 0 16  21  14  
1 1 3 0 17  21  16  
1 1 3 0 18  21  17  
1 1 3 0 19  21  18  
1 1 3 0 20  21  19  
1 1 3 0 24  22  68  
1 1 3 0 26  22  25  
1 1 3 0 28  22  69  
1 1 3 0 30  22  27  
1 1 3 0 32  22  70  
1 1 3 0 34  22  29  
1 1 3 0 36  22  71  
1 1 3 0 37  22  31  
1 1 3 0 38  22  72  
1 1 3 0 39  22  33  
1 1 3 0 40  22  73  
1 1 3 0 41  22  35  
1 1 3 0 22  24  68  
1 1 3 0 26  24  69  
1 1 3 0 28  24  27  
1 1 3 0 30  24  70  
1 1 3 0 32  24  29  
1 1 3 0 34  24  71  
1 1 3 0 36  24  31  
1 1 3 0 37  24  72  
1 1 3 0 38  24  33  
1 1 3 0 39  24  73  
1 1 3 0 40  24  35  
1 1 3 0 41  24  22  
1 1 3 0 22  26  25  
1 1 3 0 24  26  69  
1 1 3 0 28  26  70  
1 1 3 0 30  26  29  
1 1 3 0 32  26  71  
1 1 3 0 34  26  31  
1 1 3 0 36  26  72  
1 1 3 0 37  26  33  
1 1 3 0 38  26  73  
1 1 3 0 39  26  35  
1 1 3 0 40  26  22  
1 1 3 0 41  26  24  
1 1 3 0 22  28  69  
1 1 3 0 24  28  27  
1 1 3 0 26  28  70  
1 1 3 0 30  28  71  
1 1 3 0 32  28  31  
1 1 3 0 34  28  72  
1 1 3 0 36  28  33  
1 1 3 0 37  28  73  
1 1 3 0 38  28  35  
1 1 3 0 39  28  22  
1 1 3 0 40  28  24  
1 1 3 0 41  28  26  
1 1 3 0 22  30  27  
1 1 3 0 24  30  70  
1 1 3 0 26  30  29  
1 1 3 0 28  30  71  
1 1 3 0 32  30  72  
1 1 3 0 34  30  33  
1 1 3 0 36  30  73  
1 1 3 0 37  30  35  
1 1 3 0 38  30  22  
1 1 3 0 39  30  24  
1 1 3 0 40  30  26  
1 1 3 0 41  30  28  
1 1 3 0 22  32  70  
1 1 3 0 24  32  29  
1 1 3 0 26  32  71  
1 1 3 0 28  32  31  
1 1 3 0 30  32  72  
1 1 3 0 34  32  73  
1 1 3 0 36  32  35  
1 1 3 0 37  32  22  
1 1 3 0 38  32  24  
1 1 3 0 39  32  26  
1 1 3 0 40  32  28  
1 1 3 0 41  32  30  
1 1 3 0 22  34  29  
1 1 3 0 24  34  71  
1 1 3 0 26  34  31  
1 1 3 0 28  34  72  
1 1 3 0 30  34  33  
1 1 3 0 32  34  73  
1 1 3 0 36  34  22  
1 1 3 0 37  34  24  
1 1 3 0 38  34  26  
1 1 3 0 39  34  28  
1 1 3 0 40  34  30  
1 1 3 0 41  34  32  
1 1 3 0 22  36  71  
1 1 3 0 24  36  31  
1 1 3 0 26  36  72  
1 1 3 0 28  36  33  
1 1 3 0 30  36  73  
1 1 3 0 32  36  35  
1 1 3 0 34  36  22  
1 1 3 0 37  36  26  
1 1 3 0 38  36  28  
1 1 3 0 39  36  30  
1 1 3 0 40  36  32  
1 1 3 0 41  36  34  
1 1 3 0 22  37  31  
1 1 3 0 24  37  72  
1 1 3 0 26  37  33  
1 1 3 0 28  37  73  
1 1 3 0 30  37  35  
1 1 3 0 32  37  22  
1 1 3 0 34  37  24  
1 1 3 0 36  37  26  
1 1 3 0 38  37  30  
1 1 3 0 39  37  32  
1 1 3 0 40  37  34  
1 1 3 0 41  37  36  
1 1 3 0 22  38  72  
1 1 3 0 24  38  33  
1 1 3 0 26  38  73  
1 1 3 0 28  38  35  
1 1 3 0 30  38  22  
1 1 3 0 32  38  24  
1 1 3 0 34  38  26  
1 1 3 0 36  38  28  
1 1 3 0 37  38  30  
1 1 3 0 39  38  34  
1 1 3 0 40  38  36  
1 1 3 0 41  38  37  
1 1 3 0 22  39  33  
1 1 3 0 24  39  73  
1 1 3 0 26  39  35  
1 1 3 0 28  39  22  
1 1 3 0 30  39  24  
1 1 3 0 32  39  26  
1 1 3 0 34  39  28  
1 1 3 0 36  39  30  
1 1 3 0 37  39  32  
1 1 3 0 38  39  34  
1 1 3 0 40  39  37  
1 1 3 0 41  39  38  
1 1 3 0 22  40  73  
1 1 3 0 24  40  35  
1 1 3 0 26  40  22  
1 1 3 0 28  40  24  
1 1 3 0 30  40  26  
1 1 3 0 32  40  28  
1 1 3 0 34  40  30  
1 1 3 0 36  40  32  
1 1 3 0 37  40  34  
1 1 3 0 38  40  36  
1 1 3 0 39  40  37  
1 1 3 0 41  40  39  
1 1 3 0 22  41  35  
1 1 3 0 24  41  22  
1 1 3 0 26  41  24  
1 1 3 0 28  41  26  
1 1 3 0 30  41  28  
1 1 3 0 32  41  30  
1 1 3 0 34  41  32  
1 1 3 0 36  41  34  
1 1 3 0 37  41  36  
1 1 3 0 38  41  37  
1 1 3 0 39  41  38  
1 1 3 0 40  41  39  
1 1 3 0 44  42  74  
1 1 3 0 46  42  45  
1 1 3 0 48  42  75  
1 1 3 0 50  42  47  
1 1 3 0 52  42  76  
1 1 3 0 54  42  49  
1 1 3 0 56  42  77  
1 1 3 0 57  42  51  
1 1 3 0 58  42  78  
1 1 3 0 59  42  53  
1 1 3 0 60  42  79  
1 1 3 0 61  42  55  
1 1 3 0 42  44  74  
1 1 3 0 46  44  75  
1 1 3 0 48  44  47  
1 1 3 0 50  44  76  
1 1 3 0 52  44  49  
1 1 3 0 54  44  77  
1 1 3 0 56  44  51  
1 1 3 0 57  44  78  
1 1 3 0 58  44  53  
1 1 3 0 59  44  79  
1 1 3 0 60  44  55  
1 1 3 0 61  44  42  
1 1 3 0 42  46  45  
1 1 3 0 44  46  75  
1 1 3 0 48  46  76  
1 1 3 0 50  46  49  
1 1 3 0 52  46  77  
1 1 3 0 54  46  51  
1 1 3 0 56  46  78  
1 1 3 0 57  46  53  
1 1 3 0 58  46  79  
1 1 3 0 59  46  55  
1 1 3 0 60  46  42  
1 1 3 0 61  46  44  
1 1 3 0 42  48  75  
1 1 3 0 44  48  47  
1 1 3 0 46  48  76  
1 1 3 0 50  48  77  
1 1 3 0 52  48  51  
1 1 3 0 54  48  78  
1 1 3 0 56  48  53  
1 1 3 0 57  48  79  
1 1 3 0 58  48  55  
1 1 3 0 59  48  42  
1 1 3 0 60  48  44  
1 1 3 0 61  48  46  
1 1 3 0 42  50  47  
1 1 3 0 44  50  76  
1 1 3 0 46  50  49  
1 1 3 0 48  50  77  
1 1 3 0 52  50  78  
1 1 3 0 54  50  53  
1 1 3 0 56  50  79  
1 1 3 0 57  50  55  
1 1 3 0 58  50  42  
1 1 3 0 59  50  44  
1 1 3 0 60  50  46  
1 1 3 0 61  50  48  
1 1 3 0 42  52  76  
1 1 3 0 44  52  49  
1 1 3 0 46  52  77  
1 1 3 0 48  52  51  
1 1 3 0 50  52  78  
1 1 3 0 54  52  79  
1 1 3 0 56  52  55  
1 1 3 0 57  52  42  
1 1 3 0 58  52  44  
1 1 3 0 59  52  46  
1 1 3 0 60  52  48  
1 1 3 0 61  52  50  
1 1 3 0 42  54  49  
1 1 3 0 44  54  77  
1 1 3 0 46  54  51  
1 1 3 0 48  54  78  
1 1 3 0 50  54  53  
1 1 3 0 52  54  79  
1 1 3 0 56  54  42  
1 1 3 0 57  54  44  
1 1 3 0 58  54  46  
1 1 3 0 59  54  48  
1 1 3 0 60  54  50  
1 1 3 0 61  54  52  
1 1 3 0 42  56  77  
1 1 3 0 44  56  51  
1 1 3 0 46  56  78  
1 1 3 0 48  56  53  
1 1 3 0 50  56  79  
1 1 3 0 52  56  55  
1 1 3 0 54  56  42  
1 1 3 0 57  56  46  
1 1 3 0 58  56  48  
1 1 3 0 59  56  50  
1 1 3 0 60  56  52  
1 1 3 0 61  56  54  
1 1 3 0 42  57  51  
1 1 3 0 44  57  78  
1 1 3 0 46  57  53  
1 1 3 0 48  57  79  
1 1 3 0 50  57  55  
1 1 3 0 52  57  42  
1 1 3 0 54  57  44  
1 1 3 0 56  57  46  
1 1 3 0 58  57  50  
1 1 3 0 59  57  52  
1 1 3 0 60  57  54  
1 1 3 0 61  57  56  
1 1 3 0 42  58  78  
1 1 3 0 44  58  53  
1 1 3 0 46  58  79  
1 1 3 0 48  58  55  
1 1 3 0 50  58  42  
1 1 3 0 52  58  44  
1 1 3 0 54  58  46  
1 1 3 0 56  58  48  
1 1 3 0 57  58  50  
1 1 3 0 59  58  54  
1 1 3 0 60  58  56  
1 1 3 0 61  58  57  
1 1 3 0 42  59  53  
1 1 3 0 44  59  79  
1 1 3 0 46  59  55  
1 1 3 0 48  59  42  
1 1 3 0 50  59  44  
1 1 3 0 52  59  46  
1 1 3 0 54  59  48  
1 1 3 0 56  59  50  
1 1 3 0 57  59  52  
1 1 3 0 58  59  54  
1 1 3 0 60  59  57  
1 1 3 0 61  59  58  
1 1 3 0 42  60  79  
1 1 3 0 44  60  55  
1 1 3 0 46  60  42  
1 1 3 0 48  60  44  
1 1 3 0 50  60  46  
1 1 3 0 52  60  48  
1 1 3 0 54  60  50  
1 1 3 0 56  60  52  
1 1 3 0 57  60  54  
1 1 3 0 58  60  56  
1 1 3 0 59  60  57  
1 1 3 0 61  60  59  
1 1 3 0 42  61  55  
1 1 3 0 44  61  42  
1 1 3 0 46  61  44  
1 1 3 0 48  61  46  
1 1 3 0 50  61  48  
1 1 3 0 52  61  50  
1 1 3 0 54  61  52  
1 1 3 0 56  61  54  
1 1 3 0 57  61  56  
1 1 3 0 58  61  57  
1 1 3 0 59  61  58  
1 1 3 0 60  61  59  
1 1 2 1 80  2  
1 1 2 1 81  4  
1 1 2 1 82  6  
1 1 2 1 83  8  
1 1 2 1 84  10  
1 1 2 1 85  12  
1 1 2 1 86  14  
1 1 2 1 87  16  
1 1 2 1 88  17  
1 1 2 1 89  18  
1 1 2 1 90  19  
1 1 2 1 91  20  
1 1 2 1 92  21  
1 1 2 1 93  2  
1 1 2 1 94  4  
1 1 2 1 95  6  
1 1 2 1 96  8  
1 1 2 1 97  10  
1 1 2 1 98  12  
1 1 2 1 99  14  
1 1 2 1 100  16  
1 1 2 1 101  17  
1 1 2 1 102  18  
1 1 2 1 103  19  
1 1 2 1 104  20  
1 1 2 1 105  21  
1 1 2 1 93  22  
1 1 2 1 94  24  
1 1 2 1 95  26  
1 1 2 1 96  28  
1 1 2 1 97  30  
1 1 2 1 98  32  
1 1 2 1 99  34  
1 1 2 1 100  36  
1 1 2 1 101  37  
1 1 2 1 102  38  
1 1 2 1 103  39  
1 1 2 1 104  40  
1 1 2 1 105  41  
1 1 1 0 106  
2 106 3 3 3 42 22 2 
1 1 1 0 107  
2 107 3 3 3 44 24 4 
1 1 1 0 108  
2 108 3 3 3 46 26 6 
1 1 1 0 109  
2 109 3 3 3 48 28 8 
1 1 1 0 110  
2 110 3 3 3 50 30 10 
1 1 1 0 111  
2 111 3 3 3 52 32 12 
1 1 1 0 112  
2 112 3 3 3 54 34 14 
1 1 1 0 113  
2 113 3 3 3 56 36 16 
1 1 1 0 114  
2 114 3 3 3 57 37 17 
1 1 1 0 115  
2 115 3 3 3 58 38 18 
1 1 1 0 116  
2 116 3 3 3 59 39 19 
1 1 1 0 117  
2 117 3 3 3 60 40 20 
1 1 1 0 118  
2 118 3 3 3 61 41 21 
1 1 1 0 119  
2 119 3 0 2 42 22 2 
1 1 1 0 120  
2 120 3 0 2 44 24 4 
1 1 1 0 121  
2 121 3 0 2 46 26 6 
1 1 1 0 122  
2 122 3 0 2 48 28 8 
1 1 1 0 123  
2 123 3 0 2 50 30 10 
1 1 1 0 124  
2 124 3 0 2 52 32 12 
1 1 1 0 125  
2 125 3 0 2 54 34 14 
1 1 1 0 126  
2 126 3 0 2 56 36 16 
1 1 1 0 127  
2 127 3 0 2 57 37 17 
1 1 1 0 128  
2 128 3 0 2 58 38 18 
1 1 1 0 129  
2 129 3 0 2 59 39 19 
1 1 1 0 130  
2 130 3 0 2 60 40 20 
1 1 1 0 131  
2 131 3 0 2 61 41 21 
1 132 1 1 132  
1 133 0 0 
1 134 0 0 
1 135 0 0 
1 136 0 0 
1 137 0 0 
1 138 0 0 
1 139 0 0 
1 140 0 0 
1 141 0 0 
1 142 0 0 
1 143 0 0 
1 144 0 0 
1 145 0 0 
1 146 0 0 
1 147 0 0 
1 148 0 0 
1 149 0 0 
1 150 1 0 4  
1 150 1 0 6  
1 151 1 0 6  
1 150 1 0 8  
1 151 1 0 8  
1 152 1 0 8  
1 150 1 0 10  
1 151 1 0 10  
1 152 1 0 10  
1 153 1 0 10  
1 150 1 0 12  
1 151 1 0 12  
1 152 1 0 12  
1 153 1 0 12  
1 154 1 0 12  
1 150 1 0 14  
1 151 1 0 14  
1 152 1 0 14  
1 153 1 0 14  
1 154 1 0 14  
1 155 1 0 14  
1 150 1 0 16  
1 151 1 0 16  
1 152 1 0 16  
1 153 1 0 16  
1 154 1 0 16  
1 155 1 0 16  
1 156 1 0 16  
1 150 1 0 17  
1 151 1 0 17  
1 152 1 0 17  
1 153 1 0 17  
1 154 1 0 17  
1 155 1 0 17  
1 156 1 0 17  
1 157 1 0 17  
1 150 1 0 18  
1 151 1 0 18  
1 152 1 0 18  
1 153 1 0 18  
1 154 1 0 18  
1 155 1 0 18  
1 156 1 0 18  
1 157 1 0 18  
1 158 1 0 18  
1 150 1 0 19  
1 151 1 0 19  
1 152 1 0 19  
1 153 1 0 19  
1 154 1 0 19  
1 155 1 0 19  
1 156 1 0 19  
1 157 1 0 19  
1 158 1 0 19  
1 159 1 0 19  
1 150 1 0 20  
1 151 1 0 20  
1 152 1 0 20  
1 153 1 0 20  
1 154 1 0 20  
1 155 1 0 20  
1 156 1 0 20  
1 157 1 0 20  
1 158 1 0 20  
1 159 1 0 20  
1 160 1 0 20  
1 150 1 0 21  
1 151 1 0 21  
1 152 1 0 21  
1 153 1 0 21  
1 154 1 0 21  
1 155 1 0 21  
1 156 1 0 21  
1 157 1 0 21  
1 158 1 0 21  
1 159 1 0 21  
1 160 1 0 21  
1 161 1 0 21  
1 80 1 0 24  
1 80 1 0 26  
1 81 1 0 26  
1 80 1 0 28  
